Company,ISIN
Yushiro Chemical Industry Co Ltd,JP3948400001
Asahi Broadcasting Group Holdings Corp,JP3116800008
Fast Fitness Japan Inc,JP3802390009
IBJ Inc,JP3104960004
Marubun Corp,JP3877500003
Lacto Japan Co Ltd,JP3967250006
gumi Inc,JP3273810006
DKS Co Ltd,JP3475000000
Maezawa Kyuso Industries Co Ltd,JP3860300007
Inaba Seisakusho Co Ltd,JP3145800003
Suzuden Corp,JP3398400006
Space Co Ltd,JP3400050005
Baroque Japan Ltd,JP3778450001
Amuse Inc,JP3124500004
Chugai Ro Co Ltd,JP3519800001
Fukoku Co Ltd,JP3807000009
Maezawa Kasei Industries Co Ltd,JP3860250004
i-mobile Co Ltd,JP3105210003
San Holdings Inc,JP3286300003
BrainPad Inc,JP3831460005
Central Sports Co Ltd,JP3425600008
Sugimoto & Co Ltd,JP3397050000
Nikko Co Ltd,JP3669200002
Kawai Musical Instruments Manufacturing Co Ltd,JP3221400009
Sac's Bar Holdings Inc,JP3584700003
Matsui Construction Co Ltd,JP3863600007
Fidea Holdings Co Ltd,JP3802940001
Nippon Coke & Engineering Co Ltd,JP3889610006
Corona Corp,JP3305950002
System Research Co Ltd,JP3351070002
Core Corp,JP3284000001
Aichi Tokei Denki Co Ltd,JP3104400001
Toyo Engineering Corp,JP3607800004
Oenon Holdings Inc,JP3307400006
eBASE Co Ltd,JP3130790003
Bookoff Group Holdings Ltd,JP3829940000
Mr Max Holdings Ltd,JP3885200000
King Jim Co Ltd,JP3262000007
Yamaura Corp,JP3934300009
Chuo Warehouse Co Ltd,JP3516600008
Ohara Inc,JP3197630001
Pharma Foods International Co Ltd,JP3802310007
Fuji Corp Ltd,JP3815000009
Nisso Holdings Co Ltd,JP3679880009
Shindengen Electric Manufacturing Co Ltd,JP3377800002
Hodogaya Chemical Co Ltd,JP3852600000
GSI Creos Corp,JP3276000001
Naigai Trans Line Ltd,JP3641230002
Systems Engineering Consultants Co Ltd,JP3422190003
Japan Communications Inc,JP3729600001
RIX Corp,JP3974500005
Carlit Co Ltd,JP3205320009
Densan System Holdings Co Ltd,JP3551440005
Digital Holdings Inc,JP3197730009
Hard Off Corporation Co Ltd,JP3765120005
GMO GlobalSign Holdings KK,JP3386040004
Hakudo Co Ltd,JP3766500007
Artnature Inc,JP3100210008
Tosho Co Ltd,JP3594400008
Hirakawa Hewtech Corp,JP3795080005
E J Holdings Inc,JP3130480001
Good Com Asset Co Ltd,JP3273750004
Falco Holdings Co Ltd,JP3802650006
Mitsubishi Steel Mfg. Co Ltd,JP3900800008
Hashimoto Sogyo Holdings Co Ltd,JP3768000006
E-Guardian Inc,JP3130230000
Yorozu Corp,JP3961400003
Sunwels Co Ltd,JP3324410004
Soda Nikka Co Ltd,JP3431400005
Matching Service Japan Co Ltd,JP3167330004
Digital Hearts Holdings Co Ltd,JP3765110006
Nippon Concept Corp,JP3708600006
Media Do Co Ltd,JP3921230003
Toho System Science Co Ltd,JP3601600004
Fuji Oil Co Ltd,JP3160300004
Ohashi Technica Inc,JP3173100003
Nisshin Group Holdings Co Ltd,JP3677900007
Pro-Ship Inc,JP3833730009
Bull-Dog Sauce Co Ltd,JP3831200005
Gourmet Kineya Co Ltd,JP3274200009
Meiwa Estate Co Ltd,JP3920850009
AirTrip Corp,JP3167240005
Rokko Butter Co Ltd,JP3984800007
Cleanup Corp,JP3270200003
Gun Ei Chemical Industry Co Ltd,JP3274800006
Albis Co Ltd,JP3126300007
Towa Bank Ltd,JP3622400004
Samco Inc,JP3322950001
Keiwa Inc,JP3281610000
Kitanotatsujin Corp,JP3240100002
Eat&Holdings Co Ltd,JP3130740008
Hiroshima Gas Co Ltd,JP3796200008
J-Lease Co Ltd,JP3386590008
Kibun Foods Inc,JP3241500002
Sanoh Industrial Co Ltd,JP3325200008
Suzuki Co Ltd,JP3397210000
Daido Metal Co Ltd,JP3491800003
T.RAD Co Ltd,JP3620200000
S-Pool Inc,JP3163900008
Arakawa Chemical Industries Ltd,JP3125000004
Seraku Co Ltd,JP3423510001
Yoshimura Food Holdings KK,JP3958400008
Nitto Seiko Co Ltd,JP3682800002
Shimadaya Corp,JP3356550008
V Technology Co Ltd,JP3829900004
&Do Holdings Co Ltd,JP3765420009
Teikoku Tsushin Kogyo Co Ltd,JP3541600007
Syuppin Co Ltd,JP3359940008
Iseki&Co Ltd,JP3139600005
Eco's Co Ltd,JP3161180009
WA Inc,JP3505990006
Neojapan Inc,JP3758230001
Daisyo Corp,JP3484000009
Will Group Inc,JP3154160000
Yushin Precision Equipment Co Ltd,JP3944500002
Fuso Pharmaceutical Industries Ltd,JP3823600006
Hokkan Holdings Ltd,JP3846600009
Kourakuen Corp,JP3292400003
Harima Chemicals Group Inc,JP3772600007
Renaissance Inc,JP3978800005
Hagihara Industries Inc,JP3765500008
Imagica Group Inc,JP3802900005
Gakkyusha Co Ltd,JP3235400003
Double Standard Inc,JP3505980007
LIFULL Co Ltd,JP3758140002
Futaba Corp,JP3824400000
SPK Corp,JP3163800000
Kanamic Network Co Ltd,JP3215100003
Soliton Systems KK,JP3436300002
Alinco Inc,JP3126100001
Tanabe Consulting Group Co Ltd,JP3468850007
Japan Property Management Center Co Ltd,JP3695050009
System Support Holdings Inc,JP3350960005
Daishinku Corp,JP3484400001
Kyokuto Boeki Kaisha Ltd,JP3257000004
Achilles Corp,JP3108000005
Asahi Net Inc,JP3115800009
Rasa Industries Ltd,JP3967400007
Sun* Inc,JP3323800007
OAT Agrio Co Ltd,JP3174220008
Hamee Corp,JP3772000000
Tokyo Rope Mfg Co Ltd,JP3579400007
Tokyo Sangyo Co Ltd,JP3576600005
Tsukuba Bank Ltd,JP3231000005
Meiko Network Japan Co Ltd,JP3916100005
Nissei Plastic Industrial Co Ltd,JP3679000004
Temairazu Inc,JP3783300001
Cross Cat Co Ltd,JP3272600002
Nippon Chemical Industrial Co Ltd,JP3691600005
Fibergate Inc,JP3802380000
Nippon Concrete Industries Co Ltd,JP3708400001
Mitani Sangyo Co Ltd,JP3886600000
Asante Inc,JP3117350003
Tsubaki Nakashima Co Ltd,JP3534410000
Ad-Sol Nissin Corp,JP3122030004
Nihon Dempa Kogyo Co Ltd,JP3737800007
Nihon Flush Co Ltd,JP3756230003
Nippon Chemi-Con Corp,JP3701200002
Sakai Heavy Industries Ltd,JP3313200002
Bewith Inc,JP3799670009
Sanko Gosei Ltd,JP3330900006
Medius Holdings Co Ltd,JP3254190006
Kobe Electric Railway Co Ltd,JP3290600000
YAC Holdings Co Ltd,JP3990600003
Kamakura Shinsho Ltd,JP3218950008
Marumae Co Ltd,JP3878150006
Chino Corp,JP3511000006
Japan Pure Chemical Co Ltd,JP3706600008
Raccoon Holdings Inc,JP3967050000
Serverworks Co Ltd,JP3310250000
Open Door Inc,JP3173560008
Nakamuraya Co Ltd,JP3646000004
Findex Inc,JP3801450002
SMK Corp,JP3162400000
Luckland Co Ltd,JP3968000004
Tokyo Individualized Educational Institute Inc,JP3576500007
Genova Inc,JP3386840007
Takamiya Co Ltd,JP3161560002
NS Tool Co Ltd,JP3675320000
Tess Holdings Co Ltd,JP3545270005
Innotech Corp,JP3147800001
Janome Corp,JP3389400007
Paraca Inc,JP3781700004
Gurunavi Inc,JP3274180003
Sankyo Tateyama Inc,JP3326800004
Saint-Care Holding Corp,JP3424980005
Ateam Inc,JP3160890004
Meiji Electric Industries Co Ltd,JP3917600003
Grandy House Corp,JP3274030000
Taiho Kogyo Co Ltd,JP3449080005
Nippon Carbide Industries Co Inc,JP3690000009
Atrae Inc,JP3121890002
Rasa Corp,JP3967450002
Astena Holdings Co Ltd,JP3150000002
Medical Data Vision Co Ltd,JP3921250001
Shimizu Bank Ltd,JP3358400004
Taisei Lamick Co Ltd,JP3444900009
Beauty Garage Inc,JP3800480000
DKK Co Ltd,JP3550000008
Look Holdings Inc,JP3981000007
Focus Systems Corp,JP3802740005
Daiichi Kigenso Kagaku Kogyo Co Ltd,JP3474350000
Dai-Ichi Cutter Kogyo KK,JP3473700007
Ubicom Holdings Inc,JP3160910000
Himacs Ltd,JP3765250000
Pole To Win Holdings Inc,JP3855950006
Kaneko Seeds Co Ltd,JP3216200000
CellSource Co Ltd,JP3423580004
Hito Communications Holdings Inc,JP3791990009
Members Co Ltd,JP3921700005
Sekisui Kasei Co Ltd,JP3419800002
Kimura Chemical Plants Co Ltd,JP3242000002
robot home Inc,JP3153950005
Open Group Inc,JP3100550007
Ascentech KK,JP3120110006
Fuji Die Co Ltd,JP3817400009
Cube System Inc,JP3244950006
Japan Medical Dynamic Marketing Inc,JP3689100000
Br. Holdings Corp,JP3799610005
Techno Medica Co Ltd,JP3545110003
Nakabayashi Co Ltd,JP3644400008
TOW Co Ltd,JP3538450002
Fujikura Kasei Co Ltd,JP3811200009
Cookpad Inc,JP3266170004
HEROZ Inc,JP3783070000
W-Scope Corp,JP3505970008
ISB Corp,JP3100700008
Torex Semiconductor Ltd,JP3637280003
Taiko Pharmaceutical Co Ltd,JP3442200006
Gunosy Inc,JP3273820005
People Dreams & Technologies Group Co Ltd,JP3792010005
Direct Marketing MiX Inc,JP3500170000
Tokyo Base Co Ltd,JP3399710007
Enigmo Inc,JP3164590006
Inter Action Corp,JP3152720003
Take And Give Needs Co Ltd,JP3539350003
QB Net Holdings Co Ltd,JP3244750000
Axell Corp,JP3108080007
Suncall Corp,JP3330600002
Nihon House Holdings Co Ltd,JP3783500006
Shikibo Ltd,JP3348400007
Juki Corp,JP3390400004
Pickles Holdings Co Ltd,JP3801810007
IR Japan Holdings Ltd,JP3100640006
Advance Create Co Ltd,JP3122100005
Envipro Holdings Inc,JP3169750001
Kushikatsu Tanaka Holdings Co,JP3266180003
Medical System Network Co Ltd,JP3920940008
Pegasus Co Ltd,JP3836300008
Senshukai Co Ltd,JP3424600009
eSOL Co Ltd,JP3130650009
Adways Inc,JP3121970002
JMS Co Ltd,JP3386050003
Kitagawa Corp,JP3237200005
Ride On Express Holdings Co Ltd,JP3966000006
MedPeer Inc,JP3921240002
Airtech Japan Ltd,JP3688100001
Poppins Corp,JP3856500008
Sanix Inc,JP3322600002
Land Co Ltd,JP3968800007
Asteria Corp,JP3153470004
Axxzia Inc,JP3108220009
Pepper Food Service Co Ltd,JP3836400006
LTS Inc,JP3167710007
CL Holdings Inc,JP3980300002
Unitika Ltd,JP3951200009
EF On Inc,JP3802140008
Silver Life Co Ltd,JP3369800002
UMC Electronics Co Ltd,JP3944330004
Toho Zinc Co Ltd,JP3599000001
KLab Inc,JP3268870007
GMO Pepabo Inc,JP3836100002
Frontier Management Inc,JP3829550007
Orchestra Holdings Inc,JP3549040008
Scala Inc,JP3548520000
Toda Kogyo Corp,JP3627400009
Takasho Co Ltd,JP3456500002
V-cube Inc,JP3829750003
Golf Digest Online Inc,JP3309050007
Systemsoft Corp,JP3351000009
Diamond Electric Holdings Co Ltd,JP3499480006
Prored Partners Co Ltd,JP3833830007
Phil Company Inc,JP3802930002
